英文疾病名稱,中文疾病名稱,ICD-9-CM 2001年版,A Code
Cancer of ovary,卵巢惡性腫瘤,183.0,A123
Cancer of pancreas,胰臟惡性腫瘤,157.9,A096
Cancer of prostate,攝護腺(前列腺)之惡性腫瘤,185,A124
Cancer of rectum,直腸惡性腫瘤,154.1,A094
Cancer of stomach,胃惡性腫瘤,151.9,A091
Cancer of thyroid gland,甲狀腺惡性腫瘤,193,A139
Cancer of unknown primary,原發部位未明之惡性腫瘤,199.1,A139
Candidiasis,念珠菌病,112.9,A071
Candidiasis (oral thrush),口腔念珠菌病(鵝口瘡),112.0,A071
Carpal tunnel syndrome,腕隧徵候群,354.0,A229
Cellulitis and abscess,蜂窩組織炎及膿瘍,682.9,A420
Cerebral hemorrhage,大腦出血,431,A291
Cerebral infarction,腦梗塞,434.9,A292
Cerebrovascular accident,腦血管意外,436,A293
"Cerebrovascular accident, old",陳舊性腦血管意外,438.9,A299
Cervicitis,子宮頸炎,616.0,A373
Chest pain,胸痛,786.5,A469
Chickenpox,水痘,052.9,A049
Cholecystitis,膽囊炎,575.1,A348
Chronic bronchitis,慢性支氣管炎,491.9,A323
Chronic glomerulonephritis,慢性腎絲球腎炎,582.9,A350
"Chronic hepatitis, unspecified",慢性肝炎,571.4,A347
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病,496,A325
Chronic renal failure (End stage renal disease),慢性腎衰竭,585,A350
Chronic rhinitis,慢性鼻炎,472.0,A314
Chronic sinusitis,慢性鼻竇炎,473.9,A314
Cluster headache,叢集型偏頭痛,346.2,A229
Common cold,感冒,460,A312
Congestive heart failure,鬱血性心臟衰竭,428.0,A289
Constipation,便秘,564.0,A346
"Contact dermatitis and other eczema, unspecified cause",接觸性皮膚炎及其他濕疹,692.9,A429
Convulsion,痙攣,780.3,A469
Coronary artery disease,冠狀動脈疾病,414.0,A279
Other musculoskeletal symptoms referable to limbs,"歸因於四肢之其他肌肉骨骼徵候(肢體腫脹, 痙攣...)",729.8,A435
Cushing's syndrome,庫興氏徵候群,255.0,A189
"Cystitis, acute",急性膀胱炎,595.0,A353
Deep vein thrombosis,深部靜脈栓塞,453.8,A303
"Dementia, presenile",早發性老年癡呆症,290.1,A210
"Dementia, senile",老年癡呆症,290.0,A210
Depressive disorder,憂鬱症,311,A219
Dermatitis herpetiform,疹狀皮膚炎,694.0,A429
Dermatomyositis,肌皮炎,710.3,A431
Diabetes mellitus,糖尿病,250.0,A181
Diaper rash,尿布疹,691.0,A429
Dizziness and giddiness,眩暈,780.4,A469
Drug abuse,藥物濫用,305.9,A219
Drug dependence,藥癮,304.9,A216
Drug eruption,藥疹,693.0,A429
Drug poisoning,藥物中毒,977.9,A530
Drug psychosis,藥物所致之精神異常,292.9,A213
Drug withdrawal syndrome,藥物戒斷徵候群,292.0,A213
Duodenal ulcer,十二指腸潰瘍,532.9,A341
Dysfunctional uterine bleeding (DUB),功能異常性子宮出血,626.8,A379
Dysmenorrhea,痛經症,625.3,A379
Dyspnea and respiratory abnormalities,呼吸困難及呼吸異常,786.0,A469
Edema,水腫,782.3,A469
Electrolyte / fluid disease,電解質及體液失調症,276.9,A189
"Elevation of ALT, AST, or LDH",胺基交換    或乳酸脫氫    之非特定性上升,790.4,A469
Emphysema,肺氣腫,492.8,A323
Epilepsy,癲癇,345.9,A225
Erysipelas,丹毒,035,A035
Erythema multiforme,多形性紅斑,695.1,A429
Erythema nodosum,結節性紅斑,695.2,A429
Esophageal varices,食道靜脈曲張,456.1,A309
Facial palsy / Bell's palsy,貝爾氏麻痺（顏面神經麻痺）,351.0,A229
Fatty liver,脂肪肝,571.8,A347
Fever of unknown origin,不明熱,780.6,A460
Fibrositis / rheumatism,纖維組織炎/風濕症,729.0,A435
Frozen shoulder,冷凍肩 ( 五十肩 ),726.0,A435
Functional disorders of bladder,膀胱功能障礙,596.5,A359
Functional gastrointestinal disorder,腸胃功能性障礙,536.9,A349
Furuncle/carbuncle,癰及癤,680.9,A420
Gait abnormality,步態異常,781.2,A469
Gallstone,膽囊結石,574.2,A348
Gangrene,壞疽,785.4,A469
Gastric ulcer,胃潰瘍,531.9,A341
Gastritis / gastroduodenitis,胃炎及胃十二指腸炎,535.5,A349
Gastrointestinal bleeding,胃腸道出血,578.9,A349
Gingival / periodontal disease,齒齦與牙周疾病,523.9,A330
Goiter,甲狀腺腫,240.9,A180
Gonorrhea,淋病,098.0,A061
Gouty arthritis,痛風性關節炎,274.0,A189
Gouty nephropathy,痛風性腎病變,274.1,A189
Headache,頭痛,784.0,A469
Hearing impairment,聽覺障礙,389.9,A241
Heart disease,診斷欠明之心臟疾病,429.9,A289
Heart failure,心臟衰竭,428.9,A289
Heart murmur,心雜音,785.2,A461
Hematuria,血尿,599.7,A359
Hemiplegia,半身麻痺,342.9,A229
Hemolytic anemia (acquired),後天性溶血性貧血,283.9,A200
Hemoptysis,咳血,786.3,A469
Hemorrhoid,痔瘡,455.6,A305
"hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",急性或未明示之B型病毒性肝炎，未提及肝昏迷，未提及delta型肝炎Viral,070.3,A046
Other specified viral hepatitis without mention of hepatic coma,其他特定病毒性肝炎，未提及肝昏迷,070.5,A046
Hepatoma,"肝惡性腫瘤,原發性",155.0,A095
Hepatomegaly,肝腫大,789.1,A469
Herniation intervertebral disc,椎間盤凸突出,722.2,A434
Herpes simplex,單純性泡疹,054.9,A049
Herpes zoster,帶狀泡疹,053.9,A049
Hiatal hernia,橫膈疝氣,553.3,A343
Hoshimoto's thyroiditis,橋本氏慢性淋巴球性甲狀腺炎,245.2,A180
Hydronephrosis,腎水腫,591,A359
Hyperlipidemia,高脂血症,272.4,A189
"Hypertension, essential",本態性高血壓,401.9,A269
Unspecified secondary hypertension,次發性高血壓,405.9,A269
Hypertensive heart disease,高血壓性心臟病,402.9,A260
Hypertensive renal disease,高血壓性腎臟疾病,403.9,A269
Hyperthyroidism,甲狀腺亢進,242.9,A180
Hypochondriasis,慮病症,300.7,A214
Hypothyroidism,甲狀腺功能低下,244.9,A180
Hysteria,歇斯底里,300.1,A214
Impetigo,膿庖症,684,A420
Other specified disorders of penis,其他特定陰莖之疾患(器質性陽痿),607.8,A369
Psychosexual dysfunction,性心理性功能障礙(精神性陽萎),302.7,A219
Infectious diarrhea,感染性腹瀉,009.2,A016
Influenza,流行性感冒,487.1,A322
Inguinal hernia,腹股溝疝氣,550.9,A343
Sleep disturbance,睡眠障礙,780.5,A469
Irritable bowel syndrome,躁性大腸徵候群,564.1,A346
Ischemic heart disease,缺血性心臟病,414.9,A279
Jaundice,黃疸,782.4,A469
Joint pain,關節痛,719.4,A432
Joint stiffness,關節僵直,719.5,A432
Joint swelling,關節腫脹,719.0,A432
Juvenile rheumatoid artritis (polyarticular),多發性少年期類風濕性關節炎,714.3,A430
Keloid scar,瘢瘤,701.4,A429
Lipoma,脂肪瘤,214.1,A159
Liver abscess,肝膿瘍,572.0,A349
Liver cirrhosis,肝硬化,571.5,A347
Low back pain,下背痛,724.2,A434
Lymphadenitis,淋巴腺炎,289.3,A209
Lymphadenopathy,淋巴腺病變,785.6,A469
Lymphoma,淋巴瘤,202.8,A149
Malaise and fatigue,倦怠及疲勞,780.7,A469
Malignant melanoma,"皮膚惡性黑色素瘤,未明示部位者",172.9,A111
Malnutrition,營養不良,263.9,A192
Manic-depressive psychosis,躁鬱症,296.8,A212
"Mass, superficial",局部表淺性腫脹或腫塊,782.2,A469
Measles,麻疹,055.9,A042
Meniere's disease,梅尼爾氏症,386.0,A249
"Menigitis, aseptic",無菌性腦膜炎,047.9,A049
"Meningitis, bacterial",細菌性腦膜炎,320.9,A220
Menopausal syndrome,停經或女性更年期徵候群,627.2,A379
Menstruation disorder,月經異常,626.9,A379
Mental retardation,智能不足,319,A218
Migraine,偏頭痛,346.9,A229
Myalgia and myositis,肌痛及肌炎,729.1,A435
Nausea and vomiting,噁心及嘔吐,787.0,A469
Nephritis,腎炎,583.9,A350
Nephrotic syndrome,腎病徵候群,581.9,A350
"Neuropathy, lower limb",下肢單一神經炎,355.8,A229
"Neuropathy, upper limb",上肢單一神經炎,354.9,A229
Neurotic disorder,精神官能症,300.9,A214
Obesity,肥胖症,278.0,A183
Obsessive-compulsive disorder,強迫症,300.3,A214
Old myocardial infarction,陳舊性心肌梗塞,412,A279
Oral lesion,口腔病灶,528.9,A339
"Organic psychosis, chronic","器質性腦徵候群, 慢性",294.9,A213
Osteoarthritis,骨關節炎,715.9,A431
Osteoporosis,骨質疏鬆症,733.0,A439
Otitis externa,外耳炎,380.1,A249
"Otitis media, suppurative",化膿性中耳炎,382.4,A240
Palpitation,心悸,785.1,A461
Parkinson’s disease,帕金森氏症,332.0,A221
Cellulitis and abscess of finger/Onychia and paronychia of finger,手指蜂窩組織炎及膿瘍/手指甲床炎與甲溝炎,681.0,A420
Cellulitis and abscess of toe/Onychia and paronychia of toe,腳趾之蜂窩組織炎及膿瘍/足趾甲床炎與甲溝炎,681.1,A420
Paroxysmal supraventricular tachycardia,陣發性心室上心搏過速,427.0,A281
Pelvic inflammatory disease,骨盆腔發炎,614.9,A372
Peptic ulcer,消化性潰瘍,533.9,A341
Embolism and thrombosis of arteries of the extremities,四肢動脈栓塞及血栓症,444.2,A301
Peripheral neuropathy,末梢神經疾病,356.9,A229
Peripheral vascular disease,末梢血管疾病,443.9,A302
Pharyngitis,急性咽喉炎,462,A312
Phlebitis,靜脈炎,451.9,A303
Pityriasis versicolor,變色糠疹,111.0,A071
Plantar fascitiis,其他纖維瘤病,728.7,A435
Pneumoconiosis,塵肺症,505,A326
Pneumonia,肺炎,486,A321
Polymyositis,多發性肌炎,710.4,A431
Postural hypotension,姿勢性低血壓,458.0,A309
Proteinuria,蛋白尿,791.0,A469
Pruritus cutaneous,皮膚搔癢症,698.9,A429
Psoriasis,牛皮癬,696.1,A429
Psychophysiological disorder,心理生理功能障礙,306.9,A217
Purpura,紫斑症,287.2,A209
"Radiculitis, cervicobrachial",頸臂神經根炎,723.4,A434
"Radiculitis, lumbosacral",腰胝骨神經根炎,724.4,A434
Raynaud's phenomenon,雷諾氏徵候群,443.0,A302
Reflux esophagitis,食道炎,530.1,A340
Regional enteritis,局部性腸炎,555.9,A349
Renal stone,腎結石,592.0,A352
Rheumatic fever,風濕熱,390,A250
Rheumatic heart disease,風濕性心臟病,398.9,A251
Rheumatoid arthritis,類風濕關節炎,714.0,A430
Rubella,德國麻疹,056.9,A043
Salmonellosis,沙門氏菌病,003.0,A013
Scabies,疥癬(疥瘡),133.0,A079
Scarlet fever,猩紅熱,034.1,A035
Schizophrenia,精神分裂症,295.9,A211
Sciatica,坐骨神經痛,724.3,A434
Sensory disturbance,皮膚感覺障礙,782.0,A469
Sepsis,敗血症,038.9,A038
Shigella dysenteriae,志賀桿菌性痢疾,004.0,A012
Skin infection,皮膚感染,686.9,A420
Skin rash,皮疹,782.1,A469
Skin vesicular eruption,皮膚水泡發疹,709.8,A429
"Spinal stenosis, cervical",頸部脊椎狹窄,723.0,A434
Spinal stenosis other than cervical,脊椎狹窄，頸部除外,724.0,A434
Spondylosis,脊椎關節黏連,721.9,A434
"Spondylosis, cervical",頸部關節黏連,721.0,A434
Strain / sprain,扭傷及拉傷,848.9,A48
"Stress incontinence, female",壓力性排尿失禁，女性,625.6,A379
Syncope / collapse,暈厥/虛脫,780.2,A469
Syphilis,梅毒,097.9,A060
Systemic lupus erythematosus (SLE),全身紅斑性狼瘡,710.0,A431
Systemic sclerosis,全身性硬化症,710.1,A431
Tachycardia,心搏過速,785.0,A461
"Tacycardia, proxysmal",陣發性心搏過速,427.2,A281
Unspecified enthesopathy,著骨點病變,726.9,A435
Pain disorders related to psychological factors,心因性疼痛,307.8,A219
Thalassemia,地中海型貧血,282.4,A200
Thrombocytopenia,血小板缺乏,287.5,A209
Tinea coporis,體癬,110.5,A071
Tinea cruris,股癬,110.3,A071
Tinea of nail,指(趾)癬,110.1,A071
Tinea pedis,足癬,110.4,A071
Tinnitus,耳鳴,388.3,A249
Transient ischemic attack,暫時性腦部缺氧發作,435.9,A299
"Trichomoniasis, genitourinary",泌尿生殖道滴虫病,131.0,A079
Trigeminal neuralgia,三叉神經痛,350.1,A229
Primary tuberculous infection unspecified type,原發性結核感染,010.9,A021
Tuberculosis of pulmonary,肺結核,011.9,A020
Typhoid fever,傷寒,002.0,A011
Ulcer of lower limbs,下肢潰瘍,707.1,A429
Upper respiratory infection,上呼吸道感染,465.9,A312
Urethritis,尿道炎,597.8,A359
Urinary tract infection,泌尿道感染,599.0,A359
Urine incontinence,小便失禁,788.3,A469
Urolithiasis,尿結石,592.9,A352
Urticaria,蕁麻疹,708.9,A429
Uterine myoma,子宮平滑肌瘤,218.9,A152
Vaginitis,陰道炎,616.1,A373
"Varicose, lower limbs",下肢靜脈曲張,454.9,A304
Vasculitis,血管炎,447.6,A302
Vertigo,眩暈徵候群,386.9,A249
Viral infection,病毒感染,079.9,A049
Visual disturbance,視覺障礙,368.9,A239
Vitamin B deficiency,維生素Ｂ缺乏,266.9,A193
Vitamin C deficiency,維生素Ｃ缺乏,267,A193
"Weight gain, abnormal",體重異常增加,783.1,A469
"Weight loss, abnormal",體重異常減輕,783.2,A469
Acute corditis,急性聲帶炎,478.5,A319
Acute otitis media,急性中耳炎,382.9,A240
Chronic pharyngitis,慢性咽炎,472.1,A314
Other specified dermatomycoses,其他特定之皮膚黴菌病,111.8,A071
Abnormal feces,大便異常,787.7,A469
Abnormal liver function test,肝功能檢驗異常,794.8,A469
Cholelithiasis and Cholecystitis,膽結石合併膽囊炎,574.1,A348
Chronic pancreatitis,慢性胰臟炎,577.1,A349
Disease of esophagus,食道疾病,530.9,A340
Hernia ,疝氣,553.9,A343
Other gastrointestinal symptoms,其他消化道症狀,787.9,A469
Viral hepatitis ,病毒性肝炎,070.9,A046
Fasciitis ,筋膜炎,729.4,A435
Intervertebral disc disorder ,椎間盤疾患,722.9,A434
Synovitis and tenosynovitis,滑膜炎及腱鞘炎,727.0,A435
Cardiac neurosis,心因性心臟血管系統功能障礙,306.2,A217
Endocarditis valve unspecified,未明示瓣膜的心內膜炎,424.9,A289
Alzheimer's disease,阿茲海默症,331.0,A222
Cerebral atherosclerosis,腦血管動脈粥樣硬化,437.0,A294
Disease of nervous system,神經系統疾病,349.9,A229
Irritable bladder,激躁性膀胱,596.8,A359
Abnormality of urination,小便異常,788.6,A469
Renal colic,腎絞痛,788.0,A462
Diabetes with renal manifestations,併有腎病表徵之糖尿病,250.4,A181
Nephritis and nephropathy not specified as acute or chronic with other specified pathological lesion in kidney,腎炎及腎病變，併其他特定腎臟病理學上之病灶,583.8,A350
Polyneuropathy in diabetes,糖尿病所致之多發神經病變,357.2,A229
Diabetes with neurological manifestations,糖尿病神經病變,250.6,A181
Disorders of thyroid gland,甲狀腺疾患,246.9,A180
Lack of expected normal physiological development in childhood,兒童發育失調,783.4,A469
Gout,痛風,274.9,A189
Endocrine diseases,內分泌疾病,259.8,A189
Disease of blood and blood-forming organs,血液及造血器官疾病,289.8,A209
Spontaneous ecchymoses,自發性瘀斑,782.7,A469
 Signs and symptoms in breast,乳房之症狀及徵候,611.7,A370
Mastitis,乳腺炎,611.0,A370
Post-menopausal syndrome,停經後症候群,627.9,A379
Premenstrual syndrome,經前症候群,625.4,A379
Cataract,白內障,366.9,A231
Chalazion,瞼板腺囊腫,373.2,A239
Chronic conjunctivitis ,慢性結膜炎,372.1,A233
Other disorders of lacrimal gland,淚腺之其他疾患,375.1,A234
Epiphora,淚溢,375.2,A234
Subjective visual disturbances,自覺性視覺障礙(涵眼疲勞),368.1,A239
Glaucoma,青光眼,365.9,A230
Refractive error,屈光異常,367.9,A239
Retinopathy,視網膜病變,362.1,A239
Conjunctival degenerations and deposits,結膜之變性及沈澱物,372.5,A239
Seborrheic dermatitis,脂漏性皮膚炎,690.1,A429
Paronychia,甲溝炎,681.9,A420
Folliculitis,毛囊炎,704.8,A429
Alopecia,禿髮,704.0,A429
Other specified disorders of sweat glands,其他特定之汗腺疾患,705.8,A429
Verruca,病毒性疣,078.1,A049
Dyschromia,異色症,709.0,A429
Congenital anomalies,先天畸型,759.9,A449
General symptoms,其他一般症狀,780.9,A469
Dental caries,齲齒,521.0,A330
Enterobiasis,蟯蟲病(住腸腺蟲病),127.4,A076
Hand foot and mouth disease,手、足、口症,074.3,A049
Herpetic gingivostomatitis,泡疹性齒齦口腔炎,054.2,A049
Affective disorder,情感性精神病,296.9,A212
Alcohol drunkenness,宿醉,303.9,A215
Superficial injury ,表淺損傷,919.0,A55
Brain concussion,腦震盪,850.9,A490
Burn,燙傷,949.0,A529
Fracture(close),閉鎖性骨折,829.0,A476
Fracture (open),開放性骨折,829.1,A476
Postoperative infection not elsewhere classified,手術後感染,998.5,A54
Foreign body miss swallowing,吞食異物,938,A51
Cancer of connective tissue,結締組織癌,171.9,A114
Benign neoplasm of skin,皮膚良性腫瘤,216.9,A150
Breast tumor ,乳房腫瘤,239.3,A17
Lipoma,脂肪瘤,214.9,A159
Benign neoplasm of connective tissue ,結締組織良性腫瘤,215.9,A159
Hematemesis,嘔血,578.0,A349
Breast fibroadenosis,乳房纖維腺腫大,610.2,A370
Sebaceous cyst,皮脂腺囊腫,706.2,A429
Ganglion and cyst of synovium、tendon and bursa,腱鞘囊腫及滑膜、肌腱及滑液囊之囊腫,727.4,A435
Rupture of synovium,滑膜破裂,727.5,A435
Cervicalgia,頸椎痛,723.1,A434
Pain in thoracic spine,胸椎痛,724.1,A434
Disorders of coccyx,尾骨疾患,724.7,A434
Foreign body in respiratory tract,呼吸道內異物,934.9,A51
Burn of eye and adnexa,眼及附屬器官之燒傷,940.9,A520
Burn of face and head,頭臉部燒傷,941.0,A529
Burn of lower limb,下肢燒傷,945.0,A529
Burn of trunk,軀幹燒傷,942.0,A529
Burn of upper limb,上肢燒傷,943.0,A529
Burn of wrist and hand,手、腕部燒傷,944.0,A521
Brain concussion,腦震盪,950.9,A490
Contusion,挫傷,924.9,A55
Contusion of abdomen,腹部挫傷,922.2,A55
Contusion of back,背部挫傷,922.3,A55
Contusion of chest,胸部挫傷,922.1,A55
Injury to kidney without mention of open wound into cavity,腎之損傷，未提及體腔開放性傷口,866.0,A499
Injury to liver without mention of open wound into cavity,肝之損傷，未提及體腔開放性傷口,864.0,A499
Contusion of lower extremity,下肢挫傷,924.5,A55
Contusion of shoulder,肩膀挫傷,923.0,A55
Injury to spleen without mention of open wound into cavity,脾之損傷，未提及體腔開放性傷口,865.0,A499
Contusion of upper extremity,上肢挫傷,923.9,A55
Fracture of clavicle,鎖骨骨折,810.0,A476
Fracture of femur,股骨骨折,821.0,A474
Fracture of femur neck,股骨頸骨折,820.8,A473
Fracture of tibia and fibula unspecified part、closed,脛骨與腓骨之閉鎖性骨折,823.8,A475
Fracture of finger,手指骨折,816.0,A476
Fracture of foot,足部骨折,825.2,A476
Fracture of hand,手部骨折,815.0,A476
Fracture of humerus ,肱骨骨折,812.2,A472
Fracture of malleolus,踝骨骨折,824.8,A475
Fracture of nose,鼻骨骨折,802.0,A470
Fracture of patella,臏骨骨折,822.0,A476
Fracture of pelvis,骨盆腔骨折,808.8,A471
Fracture of radius and ulna unspecified part、closed,橈骨及尺骨閉鎖性骨折,813.8,A472
Fracture of vertebra,脊椎骨折,805.8,A471
Fracture of vertebra with spinal cord injury,脊椎骨折合併脊髓損傷,806.8,A471
Injury to colon ,大腸損傷,863.4,A499
Injury to gastrointestinal tract ,胃腸道損傷,863.8,A499
Injury to heart ,心臟損傷,861.0,A499
Injury to intra-abdominal organs,腹部器官損傷,868.0,A499
Injury to pelvic organ ,骨盆腔器官損傷,867.8,A499
Injury to small intestine ,小腸損傷,863.2,A499
Injury to stomach ,胃部損傷,863.0,A499
Traumatic hemopneumothorax,外傷性血氣胸,860.4,A499
Traumatic hemothorax,外傷性血胸,860.2,A499
Traumatic pneumothorax,外傷性氣胸,860.0,A499
Open wound,開放性傷口,879.8,A509
Open wound of back,背部開放性傷口,876.0,A509
Open wound of chest wall,胸壁開放性傷口,875.0,A509
Open wound of external ear,外耳部開放性傷口,872.0,A500
Open wound of eyelid,眼瞼開放性傷口,870.8,A500
Open wound of face,臉部開放性傷口,873.4,A500
Open wound of finger,手指開放性傷口,883.0,A501
Open wound of finger with tendon involvement,手指開放性傷口合併肌腱斷裂,883.2,A501
Open wound of foot,足部開放性傷口,892.0,A502
Open wound of foot with tendon involvement,足部開放性傷口合併肌腱斷裂,892.2,A502
Open wound of forearm,前臂開放性傷口,881.0,A501
Open wound of forearm with tendon involvement,前臂開放性傷口合併肌腱斷裂,881.2,A501
Open wound of hand,手部開放性傷口,882.0,A501
Open wound of hand with tendon involvement,手部開放性傷口合併肌腱斷裂,882.2,A501
Open wound of lower extremity,下肢開放性傷口,894.0,A502
Open wound of lower extremity with tendon involvement,下肢開放性傷口合併肌腱斷裂,894.2,A502
Open wound of lower leg,腿部開放性傷口,891.0,A502
Open wound of lower leg with tendon involvement,腿部開放性傷口合併肌腱斷裂,891.2,A502
Open wound of scalp,頭皮開放性傷口,873.0,A500
Open wound of trunk,軀幹開放性傷口,879.6,A509
Open wound of upper extremity,上肢開放性傷口,884.0,A501
Open wound of upper extremity with tendon involvement,上肢開放性傷口合併肌腱斷裂,884.2,A501
Sprain of ankle,踝扭傷,845.0,A48
Sprain of elbow and forearm,手肘和前臂扭傷,841.9,A48
Hand sprain,手之扭傷及拉傷,842.1,A48
Sprain of hip and thigh,髖及大腿扭傷,843.9,A48
Sprain of knee and leg,膝及腿部扭傷,844.9,A48
Sprain of shoulder and upper arm,肩及上臂之扭傷,840.9,A48
Sprain of wrist,腕扭傷,842.0,A48
Superficial injury of face ,臉部表淺損傷,910.0,A55
Superficial injury of foot,足部表淺損傷,917.0,A55
Superficial injury of hand ,手部表淺損傷,914.0,A55
Superficial injury of lower extremity ,下肢表淺損傷,916.0,A55
Superficial injury of thumb ,拇指表淺損傷,915.0,A55
Superficial injury of trunk ,軀幹表淺損傷,911.0,A55
Superficial injury of upper arm,上手臂表淺損傷,912.0,A55
Superficial injury of upper extremity ,上肢表淺損傷,913.0,A55
Traumatic amputation of finger,手指外傷性截斷,886.0,A501
Traumatic amputation of foot,足部外傷性截斷,896.0,A502
Traumatic amputation of hand,手部外傷性截斷,887.0,A501
Traumatic amputation of leg(at or above knee),膝關節以上腿部外傷性截斷,897.2,A502
Traumatic amputation of leg(below knee),膝關節以下腿部外傷性截斷,897.0,A502
Traumatic amputation of thumb,拇指外傷性截斷,885.0,A501
Traumatic amputation of toe,腳趾外傷性截斷,895.0,A502
Cough ,咳嗽,786.2,A469
Dysuria,解尿困難,788.1,A469
Urinary symptoms ,泌尿道症狀,788.9,A469
Abdominal mass,腹部腫塊,789.3,A469
Cachexia,惡病體質,799.4,A469
Alternation of consciousness,意識改變,780.0,A469
Throat pain,喉嚨痛 ,784.1,A469
Epistaxis,流鼻血  ,784.7,A469
Shock,休克,785.5,A469
Retention of urine,尿滯留,788.2,A463
Frequency of urination and polyuria,頻尿及多尿,788.4,A469
Splenomegaly,脾腫大,789.2,A469
Death on arrival,到院時死亡,798.9,A469
Allergic reaction,過敏反應,995.3,A56
Ascites,腹水,789.5,A469
Hypotension,低血壓,458.9,A309
Acute lung edema,急性肺水腫,518.4,A329
Acute renal failure with tubular necrosis,急性腎衰竭，併腎小管壞死病灶,584.5,A350
Atony of bladder,膀胱無張力,596.4,A359
Bladder cancer,膀胱惡性腫瘤,188.9,A126
Bladder stone,膀胱結石,594.1,A352
Cerebrovascular disease,腦血管疾病,437.9,A299
Chronic glomerulonephritis in membranoproliferative glomerulonephritis,慢性腎絲球腎炎，併膜狀增生性腎絲球腎炎,582.2,A350
Chronic glomerulonephritis in membranous glomerulonephritis,慢性腎絲球腎炎，併膜狀腎絲球腎炎,582.1,A350
Chronic glomerulonephritis in rapid progressive glomerulonephritis,慢性腎絲球腎炎，併快速進行性腎絲球腎炎,582.4,A350
Chronic glomerulonephritis with other specified pathological lesion in kidney,慢性腎絲球腎炎，併其他腎臟病理學上之病灶,582.8,A350
Chronic pyelonephritis,慢性腎盂腎炎,590.0,A351
Complications of transplanted organ,移植器官併發症,996.8,A54
Cyst of kidney、acquired,後天性腎囊腫,593.2,A359
Cystic kidney disease,囊腫性腎病,753.1,A449
Cystitis,膀胱炎,595.9,A353
Diabetes with ophthalmic manifestations,併有眼病表徵之糖尿病,250.5,A181
Diabetic retinopathy,糖尿病性視網膜病變,362.0, A239
Infection and inflammatory reaction due to internal prosthetic device 、implant、and graft,體內裝置物、植入及移植物所致之感染及發炎反應,996.6,A54
Mechanical complication of other specified prosthetic device、implant、and graft,其他特定裝置物、植入及移植物所致之機械性併發症,996.5,A54
Hepatorenal syndrome,肝腎徵候群,572.4,A349
